iter	Passed	Remaining
0	110	110485
1	112	55952
2	113	37813
3	115	28670
4	116	23247
5	118	19629
6	120	17039
7	121	15068
8	122	13514
9	123	12260
10	125	11245
11	126	10387
12	127	9658
13	128	9026
14	128	8464
15	129	7976
16	130	7551
17	131	7176
18	132	6827
19	132	6513
20	133	6235
21	134	5977
22	135	5743
23	135	5528
24	136	5331
25	137	5146
26	138	4973
27	138	4815
28	139	4669
29	140	4535
30	140	4406
31	141	4286
32	142	4174
33	143	4071
34	144	3971
35	144	3875
36	145	3788
37	146	3702
38	147	3625
39	147	3549
40	148	3476
41	149	3407
42	150	3344
43	150	3279
44	151	3218
45	152	3158
46	152	3102
47	153	3048
48	154	2999
49	155	2950
50	155	2901
51	156	2856
52	157	2811
53	158	2768
54	158	2729
55	159	2692
56	160	2653
57	161	2618
58	162	2585
59	162	2549
60	163	2516
61	164	2481
62	164	2451
63	165	2420
64	166	2390
65	166	2361
66	167	2332
67	168	2306
68	168	2279
69	169	2254
70	170	2230
71	171	2206
72	171	2183
73	172	2159
74	173	2136
75	173	2115
76	174	2095
77	175	2075
78	176	2054
79	177	2036
80	177	2017
81	178	1997
82	178	1975
83	179	1956
84	180	1938
85	180	1921
86	181	1904
87	182	1887
88	182	1871
89	183	1855
90	184	1840
91	184	1825
92	185	1810
93	186	1795
94	187	1781
95	187	1766
96	188	1752
97	188	1739
98	189	1727
99	190	1714
100	191	1701
101	191	1688
102	192	1675
103	193	1664
104	193	1652
105	194	1641
106	195	1629
107	196	1619
108	196	1607
109	197	1596
110	198	1586
111	198	1574
112	199	1564
113	200	1554
114	200	1544
115	201	1534
116	201	1523
117	202	1513
118	203	1503
119	203	1494
120	204	1486
121	205	1477
122	205	1468
123	206	1460
124	207	1451
125	207	1442
126	208	1433
127	209	1424
128	209	1416
129	210	1408
130	211	1400
131	211	1392
132	212	1384
133	213	1376
134	213	1369
135	214	1361
136	214	1354
137	215	1347
138	216	1340
139	217	1333
140	217	1326
141	218	1318
142	218	1311
143	219	1305
144	220	1301
145	221	1294
146	222	1289
147	222	1282
148	223	1276
149	224	1270
150	224	1264
151	225	1257
152	226	1251
153	226	1245
154	227	1239
155	227	1233
156	228	1227
157	229	1221
158	229	1216
159	230	1210
160	231	1203
161	231	1198
162	232	1192
163	232	1187
164	233	1182
165	234	1178
166	235	1173
167	235	1168
168	236	1163
169	237	1158
170	237	1153
171	238	1148
172	239	1144
173	239	1139
174	240	1134
175	241	1129
176	241	1124
177	242	1120
178	243	1115
179	243	1110
180	244	1106
181	245	1102
182	245	1097
183	246	1093
184	247	1088
185	247	1084
186	248	1080
187	249	1076
188	249	1072
189	250	1068
190	251	1065
191	252	1060
192	252	1056
193	253	1052
194	254	1048
195	254	1045
196	255	1041
197	256	1037
198	256	1032
199	257	1028
200	257	1025
201	258	1021
202	259	1017
203	259	1013
204	260	1009
205	261	1006
206	261	1002
207	262	999
208	263	995
209	263	991
210	264	988
211	265	986
212	265	982
213	266	979
214	267	976
215	268	972
216	268	969
217	269	966
218	269	962
219	270	959
220	271	955
221	271	952
222	272	949
223	273	946
224	273	942
225	274	939
226	274	936
227	275	933
228	276	930
229	276	926
230	277	923
231	278	920
232	278	917
233	279	914
234	280	911
235	280	908
236	281	905
237	282	903
238	282	900
239	283	897
240	283	894
241	284	891
242	285	888
243	285	885
244	286	882
245	286	879
246	287	876
247	288	873
248	288	871
249	289	868
250	290	865
251	290	863
252	291	860
253	291	857
254	292	854
255	293	851
256	293	849
257	294	846
258	295	844
259	295	842
260	296	839
261	297	837
262	297	834
263	298	832
264	299	829
265	299	827
266	300	824
267	301	822
268	301	819
269	302	817
270	303	815
271	303	812
272	304	810
273	304	807
274	305	805
275	306	803
276	306	800
277	307	798
278	308	796
279	308	793
280	309	791
281	310	789
282	310	787
283	311	785
284	312	783
285	312	780
286	313	778
287	314	776
288	314	774
289	315	772
290	315	769
291	316	767
292	317	765
293	317	763
294	318	760
295	319	758
296	319	756
297	320	754
298	320	752
299	321	750
300	322	748
301	322	746
302	323	744
303	324	742
304	324	740
305	325	738
